battery_sn,data_date,q,dischar_sum,soh_bms,soh_v1,cal_soh_v2,is_abnormal,vol_diff,soc_diff,battery_type,soh_fit,health_level,group_size,cal_soh_v2_rank,remaining_km
0PFBBDB4A010,20250613,460,186653.1,98.0,92.07,,,,,,,,,,
0PFBBDB5A010,20250613,460,137891.4,98.0,93.39,,,,,,,,,,
0PFBBDB5A012,20250613,460,112122.4,98.0,93.88,,,,,,,,,,
0PFBBDB9A003,20250613,460,134833.1,98.0,,,,,,,,,,,
0PFBBDB9A008,20250613,460,,,98.42,,,,,,,,,,
0PFBBDB9A013,20250613,460,130957.2,94.0,,,,,,,,,,,
0PFBBDBBA002,20250613,460,330014.8,96.0,89.93,,,,,,,,,,
0PFBBDBCA018,20250613,460,141323.6,98.0,,,,,,,,,,,
0PFBBDBEA031,20250613,460,193771.3,98.0,91.11,,,,,,,,,,
0PFBBDBEA040,20250613,460,113425.5,98.0,92.97,,,,,,,,,,
0PFBBDBFA001,20250613,460,72353.8,99.0,96.33,,,,,,,,,,
0PFBBDBJA013,20250613,460,217170.7,98.0,,,,,,,,,,,
0PFBBDBSA057,20250613,460,99777.5,99.0,95.0,,,,,,,,,,
0PFBBDBVA006,20250613,460,229147.5,98.0,,,,,,,,,,,
0PFBBDBXA010,20250613,460,285625.5,96.0,,,,,,,,,,,
0PFBBDBYA036,20250613,460,270599.6,97.0,98.64,,,,,,,,,,
0PFBBDC7A024,20250613,460,157882.6,98.0,,,,,,,,,,,
0PFBBDC7A029,20250613,460,61113.4,99.0,96.31,,,,,,,,,,
0PFBBDCBA011,20250613,460,199091.0,98.0,90.57,,,,,,,,,,
0PFBBDCBA013,20250613,460,,,,,,,,,,,,,
0PFBBDCCA021,20250613,460,193000.5,98.0,90.72,,,,,,,,,,
0PFBBDCGA034,20250613,460,127023.2,98.0,,,,,,,,,,,
0PFBBDCMA013,20250613,460,304981.4,96.0,89.74,,,,,,,,,,
0PFBBDCNA002,20250613,460,224413.9,98.0,89.4,,,,,,,,,,
0PFBBDCNA020,20250613,460,237461.1,97.0,,,,,,,,,,,
0PFBBDCNA022,20250613,460,242270.3,97.0,89.73,,,,,,,,,,
0PFBBDCNA025,20250613,460,228451.3,98.0,90.42,,,,,,,,,,
0PFBBDCNA038,20250613,460,220062.6,98.0,,,,,,,,,,,
0PFBBDCVA010,20250613,460,115809.3,98.0,,,,,,,,,,,
0PFPBDCEA062,20250613,460,245311.3,91.0,90.69,,,,,,,,,,
0PFPBDCEA064,20250613,460,239452.3,91.0,91.09,,,,,,,,,,
0PFPBDCEA069,20250613,460,274666.5,90.0,89.55,,,,,,,,,,
0PFPBDCEA071,20250613,460,232210.4,98.0,90.52,,,,,,,,,,
0PFPBDCEA072,20250613,460,251660.4,92.0,90.72,,,,,,,,,,
0PFPBE13A006,20250613,460,258185.1,97.0,90.64,,,,,,,,,,
0PFPBE19A008,20250613,460,232101.1,98.0,,,,,,,,,,,
0PFPBE2SA004,20250613,460,117720.1,98.0,93.7,,,,,,,,,,
0PFPBE31A020,20250613,460,55990.5,99.0,,,,,,,,,,,
0PFPBE38A026,20250613,460,130631.1,98.0,,,,,,,,,,,
0PFPBE3CA002,20250613,460,127597.4,98.0,93.28,,,,,,,,,,
0PFPBE3CA004,20250613,460,190728.9,98.0,,,,,,,,,,,
0PFPBE3CA005,20250613,460,193996.7,98.0,,,,,,,,,,,
0PFPBE4EA002,20250613,460,186718.9,98.0,91.63,,,,,,,,,,
0PFPBE73A032,20250613,460,49707.3,99.0,,,,,,,,,,,
0PFPBE9TA002,20250613,460,86306.1,98.0,,,,,,,,,,,
0PFBBD9CA001,20250614,460,138176.8,98.0,92.85,,,,,,,,,,
0PFBBD9HA002,20250614,460,125706.5,93.0,91.96,,,,,,,,,,
0PFBBD9NA006,20250614,460,241657.5,91.0,,,,,,,,,,,
0PFBBD9SA003,20250614,460,140527.6,98.0,,,,,,,,,,,
0PFBBDA7A003,20250614,460,257585.5,98.0,,,,,,,,,,,
0PFBBDA8A001,20250614,460,230750.6,98.0,,,,,,,,,,,
0PFBBDACA002,20250614,460,232172.9,91.0,90.16,,,,,,,,,,
0PFBBDACA003,20250614,460,250286.5,97.0,90.22,,,,,,,,,,
0PFBBDAFA011,20250614,460,308608.5,97.0,,,,,,,,,,,
0PFBBDAGA004,20250614,460,234778.1,98.0,90.87,,,,,,,,,,
0PFBBDAHA001,20250614,460,168041.0,98.0,91.61,,,,,,,,,,
0PFBBDAJA014,20250614,460,160671.7,98.0,92.57,,,,,,,,,,
0PFBBDAKA008,20250614,460,118065.8,98.0,,,,,,,,,,,
0PFBBDAKA010,20250614,460,303663.2,90.0,89.57,,,,,,,,,,
0PFBBDARA005,20250614,460,216903.7,98.0,87.64,,,,,,,,,,
0PFBBDARA006,20250614,460,279022.1,96.0,,,,,,,,,,,
0PFBBDARA008,20250614,460,293891.9,96.0,94.19,,,,,,,,,,
0PFBBDATA005,20250614,460,194114.9,98.0,90.89,,,,,,,,,,
0PFBBDATA011,20250614,460,16145.3,100.0,,,,,,,,,,,
0PFBBDB1A008,20250614,460,311528.8,96.0,87.87,,,,,,,,,,
0PFBBDB1A019,20250614,460,246069.8,97.0,90.59,,,,,,,,,,
